date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:22:16	327/327	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Dec%202017%2000:22:17%20GMT	http://www.reportmill.com/robots.txt		(from )
19:22:16	6648/6648	U-----	200	untouched ('OK')	text/html	date:Wed,%2016%20Apr%202014%2014:14:15%20GMT	http://www.reportmill.com/support/DesDocs.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/DesDocs.html	(from )
19:22:16	5812/5812	U-----	200	untouched ('OK')	text/html	date:Mon,%2014%20Apr%202014%2018:57:32%20GMT	http://www.reportmill.com/support/DevDocs.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/DevDocs.html	(from )
19:22:16	172/172	U-----	200	untouched ('OK')	text/html	date:Tue,%2027%20Dec%202005%2021:30:40%20GMT	http://www.reportmill.com/support/index.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/index.html	(from http://www.reportmill.com/support/DesDocs.html)
19:22:16	1404/1404	U-----	200	untouched ('OK')	application/x-javascript	date:Sat,%2027%20Jan%202007%2003:04:57%20GMT	http://reportmill.com/shared/navbar.js	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/shared/navbar.js	(from http://www.reportmill.com/support/DesDocs.html)
19:22:17	478159/478159	U-----	200	untouched ('')	application/pdf	date:Tue,%2002%20Feb%202010%2020:46:00%20GMT	http://www.reportmill.com/support/tutorial.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/tutorial.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:22:17	725503/725503	U-----	200	untouched ('')	application/pdf	date:Wed,%2030%20Jun%202010%2016:28:55%20GMT	http://www.reportmill.com/support/UserGuide.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/UserGuide.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:22:17	143976/143976	U-----	200	untouched ('')	application/pdf	date:Tue,%2002%20Feb%202010%2022:19:47%20GMT	http://www.reportmill.com/support/TableRowVersionsAdvanced.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/TableRowVersionsAdvanced.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:22:17	606678/606678	U-----	200	untouched ('')	application/pdf	date:Wed,%2030%20Jun%202010%2016:31:21%20GMT	http://www.reportmill.com/support/tables.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/tables.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:22:17	311038/311038	U-----	200	untouched ('')	application/pdf	date:Wed,%2030%20Jun%202010%2016:36:10%20GMT	http://www.reportmill.com/support/TableGroups.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/TableGroups.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:22:17	251/251	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Dec%202017%2000:22:18%20GMT	http://www.reportmill.com/support/Resizing	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/Resizing	(from http://www.reportmill.com/support/DesDocs.html)
