date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:21:07	327/327	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Dec%202017%2000:21:08%20GMT	http://www.reportmill.com/robots.txt		(from )
19:21:07	6648/6648	U-----	200	untouched ('OK')	text/html	date:Wed,%2016%20Apr%202014%2014:14:15%20GMT	http://www.reportmill.com/support/DesDocs.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/DesDocs.html	(from )
19:21:07	5812/5812	U-----	200	untouched ('OK')	text/html	date:Mon,%2014%20Apr%202014%2018:57:32%20GMT	http://www.reportmill.com/support/DevDocs.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/DevDocs.html	(from )
19:21:07	172/172	U-----	200	untouched ('OK')	text/html	date:Tue,%2027%20Dec%202005%2021:30:40%20GMT	http://www.reportmill.com/support/index.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/index.html	(from http://www.reportmill.com/support/DesDocs.html)
19:21:07	1404/1404	U-----	200	untouched ('OK')	application/x-javascript	date:Sat,%2027%20Jan%202007%2003:04:57%20GMT	http://reportmill.com/shared/navbar.js	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/shared/navbar.js	(from http://www.reportmill.com/support/DesDocs.html)
19:21:07	478159/478159	U-----	200	untouched ('')	application/pdf	date:Tue,%2002%20Feb%202010%2020:46:00%20GMT	http://www.reportmill.com/support/tutorial.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/tutorial.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:21:07	328/328	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Dec%202017%2000:21:09%20GMT	http://reportmill.com/support/rm9	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/rm9	(from http://www.reportmill.com/support/DevDocs.html)
19:21:08	725503/725503	U-----	200	untouched ('')	application/pdf	date:Wed,%2030%20Jun%202010%2016:28:55%20GMT	http://www.reportmill.com/support/UserGuide.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/UserGuide.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:21:08	4048/4048	---M--	200	added ('OK')	text/html	date:Thu,%2022%20Jan%202009%2021:52:56%20GMT	http://reportmill.com/support/license.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/license.html	(from http://www.reportmill.com/support/DevDocs.html)
19:21:08	606678/606678	U-----	200	untouched ('')	application/pdf	date:Wed,%2030%20Jun%202010%2016:31:21%20GMT	http://www.reportmill.com/support/tables.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/tables.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:21:08	6933/6933	---M--	200	added ('OK')	text/html	date:Tue,%2007%20Feb%202006%2022:07:46%20GMT	http://reportmill.com/support/TemplateManipulation.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/TemplateManipulation.html	(from http://www.reportmill.com/support/DevDocs.html)
19:21:08	5003/5003	---M--	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202006%2015:13:08%20GMT	http://reportmill.com/support/Excel.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/Excel.html	(from http://www.reportmill.com/support/DevDocs.html)
19:21:09	249/249	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Dec%202017%2000:21:10%20GMT	http://reportmill.com/support/swing-view	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/swing-view	(from http://www.reportmill.com/support/DevDocs.html)
19:21:09	143976/143976	U-----	200	untouched ('')	application/pdf	date:Tue,%2002%20Feb%202010%2022:19:47%20GMT	http://www.reportmill.com/support/TableRowVersionsAdvanced.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/TableRowVersionsAdvanced.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:21:09	244/244	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Dec%202017%2000:21:10%20GMT	http://reportmill.com/support/cases	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/cases	(from http://www.reportmill.com/support/DevDocs.html)
19:21:09	5045/5045	---M--	200	added ('OK')	text/html	date:Tue,%2017%20Jan%202006%2020:53:08%20GMT	http://reportmill.com/support/SupportHints.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/SupportHints.html	(from http://www.reportmill.com/support/DevDocs.html)
19:21:09	7194/7194	---M--	200	added ('OK')	text/html	date:Tue,%2005%20Sep%202006%2015:10:52%20GMT	http://reportmill.com/support/ColdFusionMX.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/ColdFusionMX.html	(from http://www.reportmill.com/support/DevDocs.html)
19:21:10	4793/4793	---M--	200	added ('OK')	text/html	date:Tue,%2023%20Mar%202004%2014:20:27%20GMT	http://reportmill.com/support/WebLogic.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/WebLogic.html	(from http://www.reportmill.com/support/DevDocs.html)
19:21:10	39772/39772	---M--	200	added ('OK')	application/pdf	date:Tue,%2015%20May%202007%2014:57:07%20GMT	http://reportmill.com/support/WebObjects.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/reportmill.com/support/WebObjects.pdf	(from http://www.reportmill.com/support/DevDocs.html)
19:21:10	311038/311038	U-----	200	untouched ('')	application/pdf	date:Wed,%2030%20Jun%202010%2016:36:10%20GMT	http://www.reportmill.com/support/TableGroups.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/TableGroups.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:21:11	795658/795658	U-----	200	untouched ('')	application/pdf	date:Wed,%2016%20Jun%202010%2021:53:56%20GMT	http://www.reportmill.com/support/graphing.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/graphing.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:21:11	251/251	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Dec%202017%2000:21:11%20GMT	http://www.reportmill.com/support/Resizing	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/Resizing	(from http://www.reportmill.com/support/DesDocs.html)
19:21:11	364525/364525	U-----	200	untouched ('')	application/pdf	date:Thu,%2017%20Jun%202010%2018:30:13%20GMT	http://www.reportmill.com/support/CrossTab.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/CrossTab.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:21:11	235344/235344	U-----	200	untouched ('')	application/pdf	date:Fri,%2002%20Jul%202010%2022:41:24%20GMT	http://www.reportmill.com/support/Subreports.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/Subreports.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:21:11	596082/596082	U-----	200	untouched ('')	application/pdf	date:Tue,%2002%20Feb%202010%2022:31:07%20GMT	http://www.reportmill.com/support/forms.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/forms.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:21:11	75028/75028	U-----	200	untouched ('')	application/pdf	date:Tue,%2015%20Jun%202010%2021:54:55%20GMT	http://www.reportmill.com/support/keychains.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/keychains.pdf	(from http://www.reportmill.com/support/DesDocs.html)
19:21:12	262/262	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Dec%202017%2000:21:13%20GMT	http://www.reportmill.com/support/PropertyExpressions	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/PropertyExpressions	(from http://www.reportmill.com/support/DesDocs.html)
19:21:12	6343/6343	U-----	200	untouched ('OK')	text/html	date:Sun,%2023%20Apr%202006%2023:33:09%20GMT	http://www.reportmill.com/support/PropertyExpressions/index.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/PropertyExpressions/index.html	(from http://www.reportmill.com/support/DesDocs.html)
19:21:12	62140/62140	U-----	200	untouched ('')	application/pdf	date:Tue,%2002%20Feb%202010%2022:37:09%20GMT	http://www.reportmill.com/support/BasicApi.pdf	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/BasicApi.pdf	(from http://www.reportmill.com/support/DevDocs.html)
19:21:12	2259/2259	U-----	200	untouched ('OK')	text/html	date:Sat,%2016%20Nov%202013%2017:41:45%20GMT	http://www.reportmill.com/support/TableOfContents.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/TableOfContents.html	(from http://www.reportmill.com/support/DesDocs.html)
19:21:12	6037/6037	U-----	200	untouched ('OK')	text/html	date:Thu,%2016%20Nov%202017%2000:16:44%20GMT	http://www.reportmill.com/support/RMListener.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/RMListener.html	(from http://www.reportmill.com/support/DevDocs.html)
19:21:12	3850/3850	U-----	200	untouched ('OK')	text/html	date:Wed,%2018%20Oct%202006%2017:56:41%20GMT	http://www.reportmill.com/support/JDBC.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/JDBC.html	(from http://www.reportmill.com/support/DevDocs.html)
19:21:12	8757/8757	U-----	200	untouched ('OK')	text/html	date:Mon,%2021%20Apr%202008%2016:14:53%20GMT	http://www.reportmill.com/support/CustomFunctions.html	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/CustomFunctions.html	(from http://www.reportmill.com/support/DevDocs.html)
19:21:12	327/327	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Dec%202017%2000:21:14%20GMT	http://reportmill.com/robots.txt		(from http://www.reportmill.com/support/DevDocs.html)
19:21:13	260/260	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Dec%202017%2000:21:14%20GMT	http://www.reportmill.com/support/imagesubstitution	c:/Users/JP/Downloads/Java/ReportMill/doc/ReportMill%20Documentation/www.reportmill.com/support/imagesubstitution	(from http://www.reportmill.com/support/DevDocs.html)
